,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0, 99/01/04,"39,511,138","2,557,720,928",65.00,65.00,64.00,64.90,+0.40,"8,255"
1, 99/01/05,"38,394,084","2,464,115,096",65.00,65.10,63.90,64.50,-0.40,"9,205"
2, 99/01/06,"52,734,385","3,390,698,544",64.50,64.90,63.70,64.90,+0.40,"12,597"
3, 99/01/07,"53,294,614","3,437,221,996",64.90,65.00,64.20,64.20,-0.70,"11,195"
4, 99/01/08,"48,047,497","3,068,341,466",63.50,64.30,63.50,64.00,-0.20,"9,804"
5, 99/01/11,"37,446,686","2,413,758,179",64.00,64.90,63.50,64.50,+0.50,"8,066"
6, 99/01/12,"52,444,792","3,337,576,396",64.40,64.40,63.30,63.60,-0.90,"12,865"
7, 99/01/13,"49,806,496","3,129,817,596",63.00,63.10,62.60,62.80,-0.80,"10,609"
8, 99/01/14,"39,254,264","2,469,193,916",63.60,63.60,63.00,63.20,+0.40,"8,755"
9, 99/01/15,"50,011,109","3,155,482,441",62.90,63.50,62.80,63.50,+0.30,"11,048"
10, 99/01/18,"30,586,332","1,924,772,947",62.80,63.10,62.80,62.90,-0.60,"9,875"
11, 99/01/19,"47,541,231","2,970,283,048",63.00,63.20,62.00,62.50,-0.40,"14,132"
12, 99/01/20,"52,519,052","3,292,097,534",62.90,63.20,62.20,63.00,+0.50,"13,043"
13, 99/01/21,"24,842,055","1,552,278,255",63.00,63.00,62.10,62.60,-0.40,"8,212"
14, 99/01/22,"64,001,109","3,916,952,764",61.50,61.70,61.00,61.10,-1.50,"18,967"
15, 99/01/25,"62,230,836","3,759,976,086",60.10,60.80,60.10,60.40,-0.70,"18,763"
16, 99/01/26,"80,078,237","4,839,012,506",60.60,61.20,60.00,60.10,-0.30,"17,643"
17, 99/01/27,"53,876,237","3,227,674,030",60.10,60.40,59.50,59.60,-0.50,"13,505"
18, 99/01/28,"44,033,633","2,666,239,239",60.50,61.50,59.80,60.00,+0.40,"11,197"
19, 99/01/29,"98,124,608","5,948,654,037",60.10,61.50,59.40,61.50,+1.50,"18,337"
20, 99/02/01,"82,234,872","4,934,428,435",60.70,60.70,59.50,59.80,-1.70,"16,893"
21, 99/02/02,"72,141,345","4,296,416,714",60.20,60.40,59.00,59.00,-0.80,"15,211"
22, 99/02/03,"42,627,861","2,534,155,240",60.20,60.30,58.80,59.80,+0.80,"9,966"
23, 99/02/04,"46,032,165","2,726,713,591",60.00,60.00,59.00,59.10,-0.70,"11,819"
24, 99/02/05,"66,295,018","3,811,514,312",57.60,57.90,57.20,57.20,-1.90,"18,203"
25, 99/02/06,"16,391,569","948,580,952",57.60,58.10,57.30,58.00,+0.80,"5,867"
26, 99/02/08,"45,835,431","2,635,605,686",58.00,58.20,57.00,57.40,-0.60,"11,834"
27, 99/02/09,"49,551,665","2,905,054,055",58.40,59.20,57.70,58.60,+1.20,"10,807"
28, 99/02/10,"53,809,831","3,156,970,629",59.00,59.20,58.20,58.40,-0.20,"13,992"
29, 99/02/22,"49,684,787","2,964,348,523",60.50,60.50,59.00,59.00,+0.60,"15,040"
30, 99/02/23,"52,030,754","3,098,100,688",59.60,59.90,59.10,59.80,+0.80,"11,574"
31, 99/02/24,"60,489,712","3,559,090,588",59.20,59.20,58.40,58.50,-1.30,"13,513"
32, 99/02/25,"57,502,162","3,357,159,422",58.50,58.90,57.90,58.20,-0.30,"12,447"
33, 99/02/26,"31,376,014","1,835,097,974",58.20,58.90,58.00,58.80,+0.60,"8,183"
